ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R438,18,3.0,Very poor,Smartphone,2.0,0.0,8.0,2.0,0.5,3,Remain Constant,NO,Scrolling through social media,NO,YES,"Friends , relatives"
R439,14,7.0,Very poor,Tablet,3.0,0.0,8.0,0.0,1,2,Decreased,NO,Sleeping,NO,NO,Travelling
R440,18,1.0,Excellent,Smartphone,2.0,1.0,8.0,1.0,0,2,Remain Constant,NO,Online gaming,YES,YES,"Friends , relatives"
R441,50,2.0,Good,Smartphone,2.0,0.0,6.0,2.0,1,3,Remain Constant,NO,Listening to music,YES,NO,School/college
R442,20,0.7,Very poor,Laptop/Desktop,3.5,0.5,8.0,3.0,0.6,4,Increased,NO,Reading books,YES,YES,Roaming around freely
R443,16,2.0,Very poor,Laptop/Desktop,2.0,1.0,9.0,2.0,0.5,2,Remain Constant,YES,Listening to music,NO,YES,Roaming around freely
R444,13,2.0,Good,Smartphone,1.0,0.0,11.0,2.0,3,2,Increased,YES,Social Media,NO,NO,School/college
R445,20,3.0,Very poor,Laptop/Desktop,4.0,1.0,8.0,2.0,0,3,Remain Constant,NO,Reading books,YES,YES,Eating outside
R446,21,0.0,Very poor,Laptop/Desktop,2.0,1.0,7.0,2.0,7,3,Increased,NO,Watching web series,NO,NO,"Friends , relatives"
R447,14,3.0,Excellent,Laptop/Desktop,5.0,2.0,10.0,3.0,3,3,Decreased,NO,Listening to music,YES,YES,"Friends , relatives"
R448,20,0.0,Very poor,Laptop/Desktop,2.0,0.0,7.0,5.0,0,2,Decreased,YES,Listening to music,NO,YES,"Friends , relatives"
R449,22,3.0,Average,Laptop/Desktop,2.0,0.0,7.0,3.0,0,3,Increased,NO,Reading books,YES,YES,Eating outside
R450,13,0.75,Excellent,Smartphone,2.0,0.0,7.0,1.0,0,1,Remain Constant,NO,Reading books,YES,NO,School/college
R451,13,3.0,Good,Smartphone,3.0,1.0,8.0,1.0,0.5,2,Increased,NO,Online gaming,YES,YES,School/college
R452,16,6.0,Good,Smartphone,3.0,1.0,6.0,1.0,1,1,Decreased,NO,Talking,YES,YES,Colleagues
R453,35,4.0,Average,Smartphone,2.0,1.0,6.0,0.5,1,2,Remain Constant,NO,Online surfing,NO,YES,Roaming around freely
R454,45,3.0,Excellent,Laptop/Desktop,4.0,1.0,8.0,2.0,1,3,Increased,NO,Meditation,YES,YES,"Friends , relatives"
R455,16,0.0,Good,Smartphone,0.0,2.0,6.0,1.0,4,2,Remain Constant,NO,Online gaming,NO,YES,Colleagues
R456,20,4.0,Very poor,Laptop/Desktop,6.0,0.0,8.0,0.0,0,2,Remain Constant,NO,Reading books,YES,YES,School/college
R457,21,0.0,Poor,Laptop/Desktop,9.0,0.0,7.0,2.0,0,3,Remain Constant,NO,Listening to music,YES,NO,"Friends , relatives"
R458,23,6.0,Average,Laptop/Desktop,4.0,1.0,9.0,1.0,0,4,Remain Constant,NO,Listening to music,NO,NO,"Friends , relatives"
R459,21,2.0,Average,Laptop/Desktop,4.0,1.0,8.0,8.0,1,2,Increased,NO,Scrolling through social media,YES,YES,School/college
R460,20,7.0,Good,Laptop/Desktop,2.0,0.0,8.0,4.0,3,4,Increased,NO,Social Media,NO,NO,Travelling
R461,19,0.0,Very poor,Smartphone,5.0,0.5,7.0,4.0,0,3,Remain Constant,NO,Reading books,YES,YES,Travelling
R462,18,4.0,Very poor,Smartphone,2.0,1.0,12.0,2.0,0,3,Remain Constant,NO,Listening to music,YES,NO,"Friends , relatives"
R471,20,5.0,Good,Laptop/Desktop,7.0,0.0,6.0,1.0,0,4,Increased,NO,Web Series,YES,YES,Travelling
R472,20,0.0,Very poor,Laptop/Desktop,10.0,4.0,6.0,2.0,0,7,Decreased,NO,Listening to music,YES,YES,"Friends , relatives"
R473,20,4.0,Very poor,Laptop/Desktop,5.0,1.0,9.0,2.0,0,4,Increased,NO,Listening to music,NO,YES,Eating outside
R474,19,4.0,Average,Laptop/Desktop,0.0,0.0,8.0,6.0,1,3,Increased,NO,Online gaming,NO,YES,School/college
R475,19,0.0,Good,Laptop/Desktop,3.0,1.0,8.0,3.0,1,3,Increased,NO,Social Media,NO,NO,School/college
R476,7,2.0,Good,Smartphone,2.0,1.0,9.0,1.0,2,3,Increased,NO,Online gaming,NO,YES,Travelling
R477,21,2.0,Average,Laptop/Desktop,0.0,1.0,7.0,3.0,0,2,Remain Constant,NO,Online gaming,YES,YES,School/college
R478,23,4.0,Very poor,Laptop/Desktop,10.0,1.0,7.0,1.0,0,2,Decreased,NO,Listening to music,YES,YES,Travelling
R479,20,5.0,Very poor,Laptop/Desktop,2.0,0.0,13.0,4.0,0,2,Increased,NO,Scrolling through social media,NO,NO,School/college
R480,20,4.0,Very poor,Smartphone,4.0,0.0,8.0,4.0,3,3,Remain Constant,NO,Online gaming,YES,YES,Eating outside
R481,19,4.0,Very poor,Laptop/Desktop,3.0,1.0,8.0,3.0,2,3,Increased,NO,Meditation,YES,YES,School/college
R482,20,4.0,Very poor,Laptop/Desktop,2.0,1.0,8.0,2.0,0,3,Increased,NO,Dancing,YES,YES,"Friends , relatives"
R483,18,4.0,Average,Smartphone,1.0,0.0,9.0,4.0,1,3,Decreased,YES,Online gaming,NO,YES,Eating outside
R484,21,4.0,Very poor,Tablet,0.0,3.0,11.0,10.0,0,1,Decreased,NO,Meditation,NO,NO,Travelling
R485,18,6.0,Very poor,Laptop/Desktop,6.0,1.0,6.0,1.0,0.5,5,Remain Constant,YES,Listening to music,YES,YES,School/college
R486,21,6.0,Excellent,Laptop/Desktop,6.0,1.0,6.0,1.0,0,4,Decreased,NO,Driving,NO,YES,Roaming around freely
R487,19,2.0,Very poor,Laptop/Desktop,3.0,0.0,7.0,3.0,2,2,Increased,NO,Online surfing,NO,NO,School/college
R488,19,0.0,Average,Laptop/Desktop,1.0,0.5,8.0,1.0,0,3,Increased,NO,Scrolling through social media,NO,YES,Nothing
R489,22,2.0,Average,Laptop/Desktop,2.0,0.0,8.0,1.0,1,3,Remain Constant,YES,Reading books,NO,NO,School/college
R490,21,3.0,Average,Laptop/Desktop,7.0,3.0,6.0,1.0,0,3,Remain Constant,NO,Meditation,YES,NO,School/college
R491,24,2.0,Poor,Smartphone,6.0,0.0,6.0,3.0,0.5,4,Decreased,NO,Listening to music,NO,NO,School/college
R492,20,4.0,Very poor,Laptop/Desktop,4.0,0.0,8.0,2.0,0,1,Remain Constant,NO,Reading books,NO,NO,School/college
R493,20,2.0,Average,Smartphone,2.0,0.0,12.0,4.0,0,3,Remain Constant,NO,Talking to your relatives,NO,YES,"Friends , relatives"
R494,24,5.0,Average,Laptop/Desktop,2.0,0.0,6.0,3.0,0,4,Increased,NO,Watching web series,NO,YES,Eating outside
R495,21,5.0,Average,Laptop/Desktop,6.0,0.0,7.0,2.0,0.5,3,Increased,NO,Online surfing,YES,YES,School/college
R496,20,3.0,Very poor,Laptop/Desktop,6.0,2.0,5.0,3.0,0,3,Remain Constant,NO,I run,YES,YES,Travelling
R497,22,5.0,Very poor,Smartphone,0.0,1.0,8.0,4.0,0,3,Remain Constant,NO,Online surfing,NO,YES,Eating outside
R498,20,7.0,Very poor,Laptop/Desktop,0.0,1.0,6.0,2.0,1,4,Remain Constant,NO,Online gaming,NO,YES,Roaming around freely
R499,20,0.5,Very poor,Smartphone,3.0,1.0,10.0,3.0,2,2,Increased,YES,Scrolling through social media,NO,NO,"Friends , relatives"
R501,22,0.5,Very poor,Laptop/Desktop,1.0,1.0,8.0,3.0,0,4,Increased,NO,Online gaming,NO,NO,Roaming around freely
R502,21,4.0,Average,Laptop/Desktop,1.0,0.0,10.0,2.0,0,3,Increased,NO,Online gaming,NO,YES,School/college
R503,19,3.0,Very poor,Laptop/Desktop,2.0,1.0,6.0,2.0,0,3,Increased,NO,Online gaming,NO,YES,School/college
R504,13,3.0,Average,Smartphone,2.0,1.0,7.0,2.0,0,3,Decreased,NO,Dancing,YES,YES,"Friends , relatives"
R505,10,4.0,Average,Smartphone,2.0,1.0,8.0,1.0,2,3,Remain Constant,NO,Dancing,YES,YES,School/college
R506,21,4.0,Very poor,Laptop/Desktop,2.0,0.0,6.0,1.0,0,3,Increased,NO,Online surfing,NO,YES,Travelling
R507,20,2.0,Very poor,Laptop/Desktop,3.0,0.0,11.0,1.0,1,3,Remain Constant,NO,Sleeping,NO,NO,School/college
R508,22,1.0,Very poor,Smartphone,2.0,1.0,6.0,2.0,0,3,Increased,NO,Online surfing,YES,YES,School/college
R509,20,4.0,Average,Laptop/Desktop,0.0,0.0,12.0,2.0,2,3,Increased,NO,Scrolling through social media,NO,NO,Roaming around freely
R510,20,0.0,Poor,Laptop/Desktop,2.0,0.0,10.0,4.0,0,3,Increased,NO,Online gaming,NO,NO,"Friends , relatives"
R511,20,0.0,Average,Laptop/Desktop,1.0,1.0,8.0,4.0,0,3,Increased,NO,Sleeping,NO,YES,School/college
R512,21,0.0,Average,Smartphone,4.0,1.0,7.0,2.0,4,4,Increased,NO,Online gaming,YES,YES,"Friends , relatives"
R513,19,4.0,Very poor,Laptop/Desktop,3.0,2.0,8.0,2.0,1,4,Remain Constant,NO,Online gaming,YES,YES,"Friends , relatives"
R514,13,2.0,Excellent,Smartphone,2.0,1.0,6.0,6.0,8,4,Increased,NO,Online gaming,YES,YES,"Friends , relatives"
R515,20,2.0,Average,Laptop/Desktop,3.0,0.0,7.0,5.0,6,2,Increased,NO,Online gaming,NO,NO,Eating outside
R516,17,2.0,Average,Smartphone,5.0,3.0,5.0,1.0,0.5,3,Decreased,NO,Running,NO,YES,School/college
R517,11,1.0,Good,Laptop/Desktop,1.0,1.0,15.0,3.0,1,4,Increased,NO,Listening to music,YES,YES,School/college
R518,17,2.0,Excellent,Smartphone,3.0,1.0,8.0,3.0,1,2,Increased,NO,Listening to music,YES,YES,School/college
R519,17,1.0,Average,Smartphone,2.0,0.0,8.0,1.0,1,2,Decreased,NO,Talking to your relatives,NO,YES,School/college
R520,19,4.0,Very poor,Laptop/Desktop,5.0,0.0,8.0,3.0,2,3,Increased,NO,Watching web series,NO,YES,School/college
R521,20,6.0,Good,Laptop/Desktop,5.0,2.0,6.0,10.0,15,3,Remain Constant,NO,Talking,YES,YES,School/college
R522,18,3.0,Good,Laptop/Desktop,4.0,2.0,7.0,2.0,2,3,Increased,NO,Dancing,YES,YES,Travelling
R523,20,4.0,Average,Laptop/Desktop,3.0,0.0,8.0,4.0,2,4,Increased,NO,Listening to music,NO,YES,Eating outside
R524,19,0.0,Very poor,Laptop/Desktop,1.0,0.0,9.0,6.0,0,4,Increased,NO,Sleeping,NO,NO,Travelling
R525,17,3.0,Average,Smartphone,3.0,3.0,9.0,2.0,0,3,Increased,NO,Online gaming,NO,NO,"Friends , relatives"
R526,19,0.0,Very poor,Smartphone,0.0,1.0,10.0,7.0,1,3,Increased,YES,Online gaming,NO,YES,School/college
R527,21,1.0,Average,Laptop/Desktop,8.0,2.0,8.0,2.0,1,3,Remain Constant,YES,Online gaming,NO,NO,Roaming around freely
R528,34,2.0,Average,Laptop/Desktop,1.0,0.0,7.0,6.0,6,3,Remain Constant,NO,Listening to music,YES,YES,Travelling
R529,15,4.0,Very poor,Smartphone,4.0,0.0,7.0,1.0,2,3,Increased,NO,Listening to music,NO,NO,"Friends , relatives"
R530,19,2.0,Very poor,Laptop/Desktop,0.0,1.0,12.0,2.0,1,3,Decreased,YES,Listening to music,NO,NO,Travelling
R532,17,6.0,Average,Smartphone,4.0,0.0,7.0,9.0,0.5,2,Increased,NO,Scrolling through social media,NO,YES,"Friends , relatives"
R533,26,2.0,Very poor,Laptop/Desktop,1.0,1.0,8.0,4.0,0,3,Decreased,NO,Scrolling through social media,NO,YES,Travelling
R534,20,0.0,Very poor,Laptop/Desktop,1.0,1.0,7.0,0.5,0.5,3,Increased,NO,Reading books,YES,YES,School/college
R535,22,3.0,Average,Laptop/Desktop,6.0,2.0,8.0,4.0,1,4,Remain Constant,NO,Cooking,YES,YES,"Friends , relatives"
R536,20,6.0,Poor,Laptop/Desktop,2.0,2.0,8.0,1.0,0,3,Decreased,NO,Listening to music,YES,NO,Roaming around freely
R537,21,4.0,Very poor,Laptop/Desktop,2.0,2.0,8.0,4.0,4,3,Decreased,NO,Watching web series,YES,YES,"Friends , relatives"
R538,14,3.0,Good,Smartphone or Laptop/Desktop,2.0,0.0,6.0,1.0,1,1,Increased,NO,Listening to music,YES,YES,School/college
R539,20,5.0,Very poor,Laptop/Desktop,6.0,1.0,7.0,2.0,0,3,Remain Constant,NO,Watching web series,NO,YES,Eating outside
R540,19,2.0,Excellent,Smartphone,2.0,1.0,10.0,2.0,1,2,Remain Constant,NO,Sleeping,YES,YES,School/college
R541,44,3.0,Average,Smartphone,4.0,0.0,6.0,1.0,1,2,Remain Constant,NO,Reading books,YES,YES,Roaming around freely
R542,20,1.0,Very poor,Tablet,2.0,3.0,8.0,2.0,2,2,Decreased,NO,Reading books,YES,YES,"Friends , relatives"
R543,22,3.0,Average,Laptop/Desktop,6.0,1.0,6.0,3.0,2,3,Remain Constant,NO,Sleeping,NO,YES,The idea of being around fun loving people but this time has certainly made us all to reconnect (and fill the gap if any) with our families and relatives so it is fun but certainly we do miss hanging out with friends
R544,21,1.0,Poor,Smartphone,4.0,1.0,8.0,4.0,0,3,Remain Constant,NO,Online surfing,YES,YES,School/college
R545,20,5.0,Very poor,Laptop/Desktop,2.0,0.0,8.0,1.0,2,3,Remain Constant,NO,Online surfing,YES,YES,"Friends , relatives"
R546,18,4.0,Very poor,Tablet,4.0,0.0,9.0,2.0,2,3,Remain Constant,NO,Watching web series,NO,YES,Travelling
R547,15,1.0,Good,Smartphone,2.0,1.0,8.0,1.0,2,2,Increased,NO,Meditation,NO,YES,School/college
R548,19,2.0,Average,Smartphone,0.0,0.0,8.0,10.0,1,2,Decreased,NO,Online gaming,NO,YES,"Friends , relatives"
R549,24,2.0,Average,Smartphone,2.0,0.0,6.0,3.0,0,2,Decreased,NO,Sleeping,NO,NO,School/college
R550,16,7.0,Average,Smartphone,4.0,1.0,6.0,1.0,0,4,Remain Constant,NO,Listening to music,YES,YES,Eating outside
R551,21,0.0,Poor,Smartphone,8.0,0.0,7.0,2.0,0.5,3,Remain Constant,YES,Online surfing,YES,NO,School/college
R552,17,4.0,Good,Smartphone,3.0,3.0,6.0,5.0,No tv,4,Decreased,NO,Exercise,YES,YES,All
R553,15,5.0,Good,Smartphone,2.0,1.0,7.0,0.0,0,2,Increased,NO,Online gaming,NO,YES,Colleagues
R554,16,2.0,Very poor,Smartphone,1.0,0.0,9.0,1.0,0,3,Decreased,NO,Reading books,NO,YES,School/college
R555,21,6.0,Average,Laptop/Desktop,2.0,1.0,7.0,1.5,1.5,3,Remain Constant,NO,Watching web series,NO,YES,My normal routine
R556,13,2.0,Excellent,Smartphone,2.0,1.0,9.0,2.0,1,3,Increased,NO,Scrolling through social media,YES,NO,School/college
R557,22,3.0,Very poor,Smartphone,2.0,1.0,9.0,1.0,1,4,Remain Constant,YES,Scrolling through social media,NO,YES,"Friends , relatives"
R558,15,4.0,Average,Laptop/Desktop,4.0,1.0,11.0,1.0,2,5,Remain Constant,NO,Listening to music,YES,YES,"Friends , relatives"
R559,26,0.5,Very poor,Smartphone,1.0,0.0,6.0,1.0,1,3,Decreased,YES,Sleeping,NO,NO,School/college
R560,21,0.0,Very poor,Laptop/Desktop,2.0,0.0,10.0,6.0,0,2,Remain Constant,NO,Online gaming,NO,YES,"Friends , relatives"
R561,13,1.0,Good,Smartphone,1.0,1.0,8.0,1.0,2,3,Remain Constant,NO,Listening to music,NO,YES,School/college
R562,21,3.0,Average,Laptop/Desktop,0.0,2.0,8.0,2.0,2,3,Increased,NO,Online gaming,NO,NO,"Friends , relatives"
R563,21,3.0,Very poor,Smartphone,1.0,1.0,8.0,2.0,0,3,Increased,NO,Watching web series,YES,YES,Travelling
R564,17,2.0,Average,Smartphone,1.0,1.0,8.0,7.0,0,4,Increased,NO,Watching web series,NO,YES,Roaming around freely
R565,20,1.0,Good,Smartphone,3.0,1.0,8.0,3.0,1,4,Remain Constant,NO,Reading,NO,YES,School/college
R566,18,3.0,Good,Smartphone,2.0,0.0,8.0,1.0,1,3,Decreased,NO,Listening to music,YES,NO,School/college
R567,19,2.0,Very poor,Laptop/Desktop,8.0,0.0,8.0,1.0,0,4,Decreased,YES,Sleeping,NO,NO,Eating outside
R568,21,4.0,Average,Laptop/Desktop,4.0,1.0,8.0,3.0,1,3,Increased,NO,Listening to music,NO,NO,School/college
R569,20,8.0,Excellent,Smartphone,8.0,1.0,7.0,2.0,1,4,Increased,NO,Watching web series,YES,YES,Roaming around freely
R570,21,8.0,Good,Laptop/Desktop,2.0,1.0,7.0,1.0,0,3,Remain Constant,NO,Talking,YES,YES,Eating outside
R571,32,2.0,Good,Smartphone,0.0,0.0,11.0,1.0,3,4,Remain Constant,NO,Meditation,NO,NO,Eating outside
R572,19,4.0,Good,Laptop/Desktop,4.0,2.0,8.0,6.0,6,3,Increased,NO,Meditation,NO,YES,Travelling
R573,18,2.0,Very poor,Smartphone,0.0,3.0,8.0,1.0,0,3,Increased,NO,Exercising,NO,YES,ALL
R575,18,0.0,Very poor,Smartphone,0.0,0.0,7.0,3.0,2,4,Remain Constant,YES,Scrolling through social media,NO,YES,"Friends , relatives"
R576,19,2.0,Very poor,Laptop/Desktop,1.0,2.0,8.0,3.0,2,4,Increased,NO,Sleeping,YES,NO,School/college
R577,19,2.0,Very poor,Smartphone,2.0,0.0,8.0,1.5,1,2,Decreased,NO,Watching web series,NO,YES,Roaming around freely
R578,19,3.0,Excellent,Laptop/Desktop,0.0,0.0,9.0,6.0,0,2,Remain Constant,YES,Meditation,YES,YES,Nothing
R579,23,4.0,Very poor,Smartphone,4.0,1.0,8.0,2.0,2,2,Increased,NO,Cooking,NO,YES,Eating outside
R581,22,4.0,Very poor,Laptop/Desktop,1.0,0.0,9.0,1.0,1,4,Remain Constant,NO,Listening to music,YES,YES,Eating outside
R582,12,6.0,Good,Tablet,4.0,0.0,7.0,1.0,2,4,Increased,NO,Online gaming,NO,YES,School/college
R583,8,2.0,Excellent,Laptop/Desktop,1.0,1.0,5.0,1.0,1,2,Remain Constant,NO,Sleeping,YES,YES,School/college
R584,17,0.75,Excellent,Smartphone,4.0,1.0,7.0,1.0,0.3,2,Decreased,NO,Sleeping,YES,YES,School/college
R585,21,3.0,Excellent,Laptop/Desktop,1.0,0.0,11.0,3.0,2,1,Remain Constant,NO,Reading books,YES,NO,Eating outside
R586,14,3.0,Average,Smartphone,2.0,2.0,7.0,2.0,2,3,Remain Constant,NO,Online gaming,YES,NO,School/college
R587,20,4.0,Very poor,Smartphone,3.0,0.0,8.0,1.0,0,1,Increased,NO,Scrolling through social media,NO,YES,NOTHING
R588,22,0.0,Very poor,Smartphone,2.0,1.0,6.0,0.5,0,1,Decreased,NO,Talking to your relatives,YES,YES,Roaming around freely
R589,13,6.0,Average,Tablet,3.0,1.0,10.0,1.0,6,3,Remain Constant,NO,Talking to your relatives,YES,YES,ALL
R590,21,2.0,Very poor,Smartphone,0.5,1.0,8.0,1.0,0,4,Increased,NO,Listening to music,YES,YES,Travelling
R591,36,3.0,Excellent,Laptop/Desktop,2.0,0.0,8.0,2.0,0,3,Remain Constant,NO,Reading books,NO,YES,Eating outside
R592,13,4.0,Good,Any Gadget,3.0,1.0,9.0,3.0,2,2,Decreased,NO,Cooking,YES,YES,Colleagues
R593,24,2.0,Average,Smartphone,1.0,1.0,7.0,4.0,0,3,Remain Constant,NO,Football,YES,YES,School/college
R594,46,2.0,Very poor,Smartphone,0.5,0.25,7.0,1.0,1,3,Remain Constant,NO,Cooking,NO,NO,Travelling
R595,16,5.0,Good,Laptop/Desktop,8.0,0.5,6.0,0.4,0,3,Remain Constant,NO,Online gaming,YES,NO,Colleagues
R596,25,2.0,Good,Laptop/Desktop,3.0,0.0,7.0,2.0,3,2,Remain Constant,NO,Talking,YES,YES,Eating outside
R597,24,6.0,Good,Laptop/Desktop,8.0,0.0,9.0,2.0,0,3,Decreased,YES,Reading,YES,YES,Colleagues
R598,17,4.0,Very poor,Smartphone,2.0,0.0,10.0,3.0,4,2,Remain Constant,NO,Online surfing,YES,YES,School/college
R599,16,1.0,Average,Smartphone,2.0,0.0,10.0,2.0,3,4,Remain Constant,NO,Online gaming,NO,YES,School/college
R600,20,3.0,Very poor,Laptop/Desktop,6.0,1.0,8.0,3.0,1,4,Increased,NO,Online surfing,YES,YES,School/college
R601,40,5.0,Very poor,Laptop/Desktop,3.0,0.0,6.0,3.0,0,3,Increased,YES,Sleeping,YES,YES,Being social 
R602,32,1.0,Average,Laptop/Desktop,2.0,0.5,7.0,3.0,0,3,Increased,YES,Scrolling through social media,NO,YES,Roaming around freely
R603,14,5.0,Average,Smartphone,2.0,0.0,9.0,1.0,2,2,Remain Constant,NO,Online gaming,YES,YES,School/college
R604,18,4.0,Average,Laptop/Desktop,2.0,3.0,7.0,4.0,1,2,Decreased,NO,Online surfing,NO,NO,School/college
R605,52,0.0,Good,Laptop/Desktop,2.0,1.0,8.0,2.0,0,4,Remain Constant,NO,Reading,YES,YES,Colleagues
R606,21,1.0,Very poor,Laptop/Desktop,8.0,0.0,8.0,2.0,2,2,Decreased,YES,Scrolling through social media,YES,NO,"Friends , relatives"
R608,21,6.0,Very poor,Laptop/Desktop,3.0,0.0,8.0,4.0,1,3,Increased,YES,Listening to music,NO,NO,Eating outside
R609,21,4.0,Average,Laptop/Desktop,3.0,0.0,8.0,2.0,1,3,Decreased,NO,Scrolling through social media,NO,NO,"Friends , relatives"
R610,22,1.0,Very poor,Laptop/Desktop,10.0,2.0,7.0,1.0,0,3,Remain Constant,NO,Writing,YES,YES,Roaming around freely
R611,19,0.0,Very poor,Smartphone,4.0,0.0,8.0,4.0,0,1,Increased,NO,Reading books,NO,NO,"Friends , relatives"
R612,14,4.0,Good,Smartphone,1.0,1.0,8.0,1.0,0.5,2,Increased,NO,Social Media,YES,NO,Colleagues
R613,18,1.0,Average,Smartphone,2.0,0.0,7.0,1.0,0,3,Decreased,YES,Cooking,NO,YES,School/college
R614,17,2.0,Excellent,Smartphone,3.0,2.0,10.0,1.0,1,2,Increased,NO,Watching web series,YES,YES,"Friends , relatives"
R615,21,2.0,Average,Laptop/Desktop,0.0,0.0,7.0,5.0,0,3,Decreased,NO,Online gaming,NO,YES,Travelling
R616,22,2.0,Very poor,Laptop/Desktop,2.0,0.0,6.0,5.0,0,2,Increased,NO,Online surfing,YES,YES,School/college
R617,15,3.0,Very poor,Smartphone,2.0,0.0,10.0,1.0,2,2,Increased,NO,Online surfing,NO,YES,School/college
R618,25,6.0,Good,Laptop/Desktop,0.0,1.0,7.0,3.0,0,2,Increased,NO,Web Series,NO,YES,Colleagues
R619,17,2.0,Excellent,Smartphone,3.0,1.0,8.0,1.0,2,1,Increased,NO,Sleeping,YES,YES,School/college
R620,25,1.0,Average,Laptop/Desktop,4.0,0.5,9.0,2.0,5,3,Increased,NO,Online surfing,NO,YES,School/college
R621,22,1.0,Very poor,Smartphone,0.0,0.0,6.0,2.0,2,3,Increased,YES,Watching web series,NO,NO,School/college
R622,21,0.0,Very poor,Smartphone,3.0,0.0,8.0,4.0,1,3,Remain Constant,YES,Scrolling through social media,NO,YES,"Friends , relatives"
R623,20,1.0,Good,Laptop/Desktop,3.0,1.0,12.0,3.0,2,4,Remain Constant,NO,Reading,YES,YES,School/college
R624,21,2.0,Good,Smartphone,5.0,0.0,12.0,3.0, ,4,Remain Constant,NO,Listening to music,NO,NO,Travelling
R625,13,3.5,Good,Smartphone,2.0,2.0,9.0,1.0,6,1,Increased,YES,Listening to music,YES,YES,Colleagues
R626,32,6.0,Good,Laptop/Desktop,2.0,1.0,5.0,2.0,2,2,Increased,NO,Dancing,YES,YES,Travelling
R627,34,2.0,Average,Laptop/Desktop,2.0,1.0,7.0,4.0,2,2,Remain Constant,NO,Cooking,NO,NO,"Friends , relatives"
R628,22,0.0,Very poor,Smartphone,1.0,0.0,8.0,5.0,1.5,3,Remain Constant,NO,Reading books,NO,NO,Roaming around freely
R629,21,4.0,Average,Laptop/Desktop,4.0,1.0,6.0,1.0,1,3,Remain Constant,YES,Meditation,YES,NO,School/college
R630,17,1.0,Good,Smartphone,1.0,1.0,8.0,2.0,1,3,Increased,NO,Web Series,NO,YES,School/college
R631,13,4.0,Excellent,Smartphone,5.0,1.0,13.0,2.0,3,2,Decreased,YES,Reading books,YES,YES,"Friends , relatives"
R632,30,4.0,Average,Laptop/Desktop,3.0,1.0,7.0,1.0,1,3,Remain Constant,NO,singing,NO,NO,School/college
R633,21,2.0,Average,Smartphone,1.0,1.0,9.0,2.0,2,3,Remain Constant,NO,Watching web series,NO,YES,School/college
R634,28,3.0,Good,Laptop/Desktop,4.0,1.0,9.0,2.0,0,3,Remain Constant,NO,Listening to music,YES,YES,Travelling
R635,21,4.0,Very poor,Laptop/Desktop,3.0,0.0,6.0,2.0,0,2,Remain Constant,NO,Online gaming,NO,NO,Eating outside
R636,15,2.0,Excellent,Smartphone,5.0,3.0,11.0,1.0,1,4,Increased,NO,Reading books,NO,YES,School/college
R637,16,1.0,Good,Smartphone,1.0,1.0,7.0,2.0,2,2,Remain Constant,NO,Online gaming,YES,YES,School/college
R638,40,3.0,Average,Smartphone,1.0,0.5,7.0,4.0,1,3,Remain Constant,NO,Talking to your relatives,YES,YES,Travelling
R639,43,2.0,Good,Laptop/Desktop,2.0,1.0,7.0,1.0,1,2,Remain Constant,NO,Sleeping,YES,YES,Travelling
R640,25,1.0,Average,Smartphone,2.0,0.0,10.0,1.0,1,3,Increased,NO,Cooking,NO,YES,School/college
R646,17,0.75,Good,Smartphone,2.0,2.0,6.0,1.0,1,3,Increased,NO,Exercise,YES,YES,School/college
R647,18,0.75,Good,Smartphone,1.0,1.0,12.0,1.0,1,3,Increased,NO,Exercise,YES,YES,School/college
R648,17,0.75,Good,Smartphone,2.0,1.0,12.0,1.0,1,3,Increased,NO,Exercise,YES,YES,School/college
R649,30,4.0,Excellent,Laptop/Desktop,4.0,0.0,5.0,6.0,1,2,Remain Constant,NO,Watching web series,YES,YES,Roaming around freely
R650,19,4.0,Average,Laptop/Desktop,4.0,1.0,8.0,0.0,0,2,Increased,NO,Online gaming,NO,NO,Roaming around freely
R651,21,0.0,Very poor,Smartphone,2.0,0.0,10.0,2.0,0,3,Remain Constant,NO,Watching web series,NO,NO,Roaming around freely
R652,20,4.0,Good,Laptop/Desktop,6.0,0.0,8.0,3.0,0,3,Increased,NO,Online gaming,YES,YES,Travelling
R653,19,5.0,Very poor,Smartphone,1.0,1.0,5.0,2.0,4,3,Increased,NO,Listening to music,NO,YES,School/college
R654,19,3.0,Very poor,Laptop/Desktop,2.0,1.0,8.0,3.0,0,3,Remain Constant,NO,Dancing,NO,YES,School/college
R655,19,0.0,Very poor,Smartphone,0.0,0.0,12.0,4.0,6,3,Decreased,NO,Watching web series,NO,NO,Travelling
R656,20,4.0,Average,Laptop/Desktop,2.0,1.0,7.0,1.0,0,3,Decreased,YES,Exercising,NO,YES,Roaming around freely
R657,19,4.0,Very poor,Smartphone,5.0,0.0,6.0,2.0,0,3,Increased,NO,Reading books,YES,YES,School/college
R658,20,0.0,Very poor,Laptop/Desktop,3.0,0.0,8.0,4.0,2,4,Increased,YES,Meditation,NO,NO,Travelling
R659,19,2.0,Very poor,Laptop/Desktop,2.0,1.0,9.0,1.0,0,2,Decreased,YES,Listening to music,YES,YES,Travelling
