ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R77,19,0.0,Very poor,Smartphone,1.0,1.0,8.0,2.0,0,3,Decreased,NO,Listening to music,YES,YES,School/college
R78,20,3.0,Average,Laptop/Desktop,3.0,0.0,10.0,10.0,4.5,3,Increased,NO,Scrolling through social media,NO,NO,School/college
R79,20,3.0,Excellent,Laptop/Desktop,0.0,1.0,8.0,5.0,1,3,Increased,NO,Online surfing,NO,YES,School/college
R81,21,5.0,Average,Laptop/Desktop,5.0,0.0,8.0,7.0,1,2,Increased,YES,Scrolling through social media,NO,YES,"Friends , relatives"
R82,21,3.0,Good,Smartphone,2.0,1.0,10.0,1.0,0,3,Remain Constant,NO,Online gaming,NO,NO,Colleagues
R83,19,2.0,Very poor,Smartphone,2.0,0.5,9.0,3.0,1,2,Increased,NO,Online gaming,YES,YES,School/college
R84,20,0.0,Very poor,Laptop/Desktop,1.0,1.0,12.0,2.0,2,2,Increased,NO,Online gaming,NO,YES,Roaming around freely
R85,21,1.0,Poor,Smartphone,8.0,0.0,10.0,1.0,0,3,Decreased,NO,Sleep,YES,YES,School/college
R86,19,2.0,Very poor,Tablet,2.0,1.0,8.0,5.0,0,4,Decreased,NO,Scrolling through social media,NO,YES,Roaming around freely
R87,20,5.0,Average,Smartphone,3.0,1.0,7.0,1.5,0,3,Increased,YES,drawing ,YES,YES,School/college
R88,21,4.0,Very poor,Smartphone,3.0,1.0,8.0,1.0,0,3,Decreased,NO,Meditation,NO,NO,All of them
R89,18,3.0,Very poor,Smartphone,4.0,1.0,7.0,1.0,0,4,Remain Constant,YES,Listening to music,NO,NO,Eating outside
R90,19,4.0,Average,Smartphone,3.0,1.0,7.0,3.0,2,3,Increased,NO,Listening to music,YES,YES,School/college
R91,25,4.0,Very poor,Smartphone,3.0,1.0,7.0,1.0,0,3,Remain Constant,YES,Cricket,NO,NO,Eating outside
R92,19,0.0,Very poor,Smartphone,4.0,1.0,8.0,1.0,0,3,Increased,NO,Listening to music,NO,YES,School/college
R93,19,4.0,Very poor,Laptop/Desktop,0.0,0.0,8.0,2.0,1.5,3,Increased,YES,Anime Manga,NO,NO,School/college
R94,20,4.0,Good,Smartphone,2.0,2.0,8.0,6.0,0,3,Decreased,NO,Sleeping,YES,YES,School/college
R95,20,2.0,Average,Smartphone,3.0,1.0,5.0,4.0,1,3,Increased,NO,Listening to music,NO,YES,School/college
R96,19,5.0,Good,Tablet,3.0,1.0,8.0,2.0,0,2,Remain Constant,NO,Reading,NO,YES,Travelling
R97,19,3.0,Average,Smartphone,1.0,0.0,10.0,4.0,0,3,Remain Constant,NO,Listening to music,NO,YES,School/college
R98,22,2.0,Average,Smartphone,0.0,0.0,12.0,4.0,2,3,Increased,NO,Online gaming,NO,YES,Eating outside
R99,21,1.0,Good,Smartphone,3.0,2.0,10.0,1.0,2,4,Increased,YES,Meditation,NO,YES,Colleagues
R100,21,1.0,Very poor,Smartphone,2.0,1.0,8.0,1.0,0,3,Increased,NO,Listening to music,NO,NO,School/college
R101,16,6.0,Poor,Smartphone,2.0,2.0,7.0,2.0,1,3,Remain Constant,NO,Scrolling through social media,YES,YES,Travelling
R102,21,3.0,Average,Laptop/Desktop,5.0,0.0,8.0,7.0,1,2,Remain Constant,NO,Watching web series,NO,YES,School/college
R103,21,4.0,Very poor,Smartphone,4.0,1.0,7.0,1.0,0,4,Decreased,YES,Listening to music,YES,NO,Travelling
R104,16,3.0,Very poor,Smartphone,3.0,1.0,7.0,3.0,1,2,Remain Constant,NO,Listening to music,NO,NO,Friends and School
R105,21,2.0,Very poor,Smartphone,7.0,2.0,8.0,0.5,0,5,Increased,NO,Reading books,YES,YES,Gym
R106,23,4.0,Excellent,Laptop/Desktop,6.0,1.0,8.0,0.3,0,3,Increased,NO,Talking to your relatives,YES,NO,Travelling
R107,19,2.0,Very poor,Smartphone,1.5,1.0,7.0,2.0,N,2,Remain Constant,NO,Listening to music,NO,NO,School/college
R108,20,1.0,Very poor,Smartphone,2.0,1.0,8.0,1.0,0,3,Increased,NO,Listening to music,NO,NO,School/college
R109,18,2.0,Very poor,Smartphone,3.0,1.0,8.0,1.0,1,3,Decreased,NO,Listening to music,YES,YES,Roaming around freely
R110,10,3.0,Good,Tablet,3.0,0.0,10.0,1.0,4,3,Remain Constant,NO,Online gaming,YES,NO,Colleagues
R111,20,0.0,Very poor,Smartphone,2.0,2.0,8.0,0.15,0.3,2,Decreased,NO,Talking to your relatives,YES,YES,School/college
R112,21,3.0,Average,Smartphone,3.0,0.0,11.0,2.0,N,2,Increased,YES,Sleep,NO,YES,School/college
R113,19,1.0,Very poor,Smartphone,4.0,1.0,8.0,1.0,0,4,Remain Constant,NO,Sleep,NO,YES,School/college
R114,14,5.0,Average,Laptop/Desktop,4.0,1.0,7.0,4.0,1,5,Increased,NO,Scrolling through social media,NO,NO,"Friends,Romaing and traveling"
R115,18,2.0,Very poor,Smartphone,3.0,1.0,10.0,2.0,0,3,Remain Constant,NO,Online gaming,NO,YES,School/college
R116,18,3.0,Very poor,Smartphone,6.0,0.0,7.0,3.0,1,3,Remain Constant,NO,Reading books,YES,NO,School/college
R117,24,4.0,Excellent,Laptop/Desktop,8.0,1.0,8.0,2.0,2,3,Increased,NO,Online surfing,YES,YES,"Friends , relatives"
R118,14,3.0,Good,Smartphone,5.0,1.0,12.0,0.3,1,3,Remain Constant,NO,Sleeping,YES,YES,Colleagues
R119,21,4.0,Good,Laptop/Desktop,2.0,2.0,7.0,2.0,1,3,Increased,NO,Dancing,YES,YES,Travelling
R120,19,2.0,Average,Smartphone,6.0,1.0,6.0,1.0,0,3,Increased,NO,Watching web series,NO,YES,School/college
R121,18,2.5,Average,Smartphone,2.0,1.0,8.0,1.0,0,4,Remain Constant,NO,Listening to music,NO,YES,Travelling
R122,23,6.0,Average,Laptop/Desktop,5.0,1.0,6.0,1.0,0,3,Remain Constant,NO,Meditation,YES,YES,School/college
R123,21,4.0,Average,Smartphone,4.0,1.0,8.0,1.0,0,3,Remain Constant,NO,Meditation,YES,YES,"Friends , relatives"
R124,18,5.0,Very poor,Smartphone,3.0,0.0,9.0,7.0,0,3,Increased,NO,Watching web series,YES,NO,Roaming around freely
R125,19,1.0,Very poor,Smartphone,2.0,0.0,7.0,1.0,0,2,Increased,YES,Sleep,NO,NO,School/college
R126,20,5.0,Average,Smartphone,4.0,1.0,7.0,2.0,1,3,Increased,NO,Meditation,YES,YES,School/college
R127,20,2.0,Average,Smartphone,3.0,0.5,6.5,1.0,0.5,3,Remain Constant,NO,Listening to music,YES,YES,Roaming around freely
R128,19,2.0,Very poor,Smartphone,4.0,1.0,8.0,2.0,0,4,Decreased,NO,Sketching and writing,NO,NO,Roaming around freely
R129,15,1.0,Good,Smartphone,3.0,1.0,6.0,4.0,1.5,4,Increased,NO,Listening to music,YES,YES,School/college
R131,20,3.0,Very poor,Smartphone,3.0,0.0,9.0,2.0,2,2,Decreased,NO,Meditation,YES,YES,Travelling
R132,17,6.0,Average,Laptop/Desktop,4.0,1.0,8.0,1.0,1,2,Remain Constant,NO,Listening to music,NO,YES,School/college
R133,18,2.0,Very poor,Smartphone,2.0,1.0,9.0,2.0,2,2,Increased,NO,Watching web series,YES,YES,Travelling
R134,20,2.0,Very poor,Smartphone,4.0,0.0,10.0,4.0,2,3,Decreased,NO,Cooking,NO,YES,School/college
R135,18,5.0,Average,Smartphone,1.0,1.0,8.0,1.0,0,4,Increased,NO,Sleep,YES,YES,Roaming around freely
R136,22,0.1,Poor,Smartphone,2.5,1.0,12.0,0.3,0,5,Increased,NO,Online gaming,NO,YES,Only friends
R137,18,3.0,Very poor,Smartphone,5.0,1.0,7.0,2.0,0,3,Remain Constant,NO,Online gaming,NO,YES,Roaming around freely
R138,15,4.0,Average,Smartphone,2.0,0.5,6.0,1.0,1,3,Remain Constant,NO,Dancing,NO,YES,Eating outside
R139,22,1.0,Very poor,Laptop/Desktop,10.0,1.0,7.0,1.0,0,3,Remain Constant,NO,Writing,YES,YES,Roaming around freely
R140,19,3.0,Very poor,Laptop/Desktop,2.0,1.0,9.0,1.0,0,3,Decreased,NO,Online gaming,NO,YES,School/college
R141,20,3.0,Very poor,Smartphone,5.0,0.0,7.0,2.0,1,2,Remain Constant,YES,Watching web series,YES,YES,School/college
R142,20,3.0,Very poor,Smartphone,3.0,0.0,9.0,2.0,2,2,Decreased,NO,Meditation,YES,YES,Travelling
R144,18,2.0,Poor,Smartphone,6.0,1.0,7.0,1.0,1,2,Increased,NO,Listening to music,YES,YES,"Friends , relatives"
R145,19,2.0,Very poor,Smartphone,2.0,2.0,8.0,2.0,3,2,Increased,NO,Watching web series,YES,YES,Eating outside
R146,14,4.0,Average,Smartphone,2.0,1.0,8.0,2.0,1,3,Remain Constant,NO,Listening to music,YES,NO,"Friends , relatives"
R147,20,6.0,Average,Laptop/Desktop,1.0,1.0,6.0,1.0,0,3,Increased,YES,Talking to your relatives,YES,YES,School/college
R148,20,3.0,Average,Laptop/Desktop,2.0,1.0,8.0,2.0,2,3,Remain Constant,NO,Listening to music,NO,NO,Roaming around freely
R149,19,6.0,Very poor,Smartphone,3.0,0.0,7.0,2.0,0.5,2,Increased,YES,Online gaming,NO,YES,"Friends , relatives"
R150,19,1.0,Average,Laptop/Desktop,1.0,1.0,10.0,1.0,0,3,Remain Constant,NO,Listening to music,YES,YES,Eating outside
R151,18,2.0,Very poor,Smartphone,2.0,1.0,10.0,2.0,0,3,Remain Constant,NO,Listening to music,NO,NO,Eating outside
R152,21,4.0,Very poor,Smartphone,4.0,1.0,8.0,2.0,0,3,Increased,NO,Sleep,NO,YES,Roaming around freely
