age,online_class_time,class_rating,class_medium,self_study_time,sleep_time,social_media_time,time_utilized
22,6.0,Good,Laptop/Desktop,2.0,8.0,4.0,NO
21,1.0,Average,Laptop/Desktop,1.0,7.0,2.0,NO
20,1.0,Very poor,Smartphone,2.0,8.0,3.0,YES
21,3.0,Average,Smartphone,0.5,6.0,2.0,YES
19,2.0,Very poor,Smartphone,2.0,8.0,2.0,YES
22,1.0,Very poor,Smartphone,7.0,7.0,1.0,YES
20,3.0,Very poor,Laptop/Desktop,1.5,6.0,2.0,NO
14,4.0,Very poor,Smartphone,1.0,9.0,1.5,NO
22,1.0,Average,Smartphone,4.0,11.0,1.0,NO
22,2.0,Average,Laptop/Desktop,5.0,8.0,3.0,YES
19,2.0,Poor,Smartphone,10.0,8.0,2.0,YES
21,1.0,Average,Smartphone,0.0,6.0,2.0,NO
15,5.0,Average,Smartphone,5.0,7.0,3.0,NO
21,3.0,Good,Laptop/Desktop,3.0,8.0,4.0,NO
21,3.0,Very poor,Smartphone,8.0,7.0,3.0,NO
34,3.0,Average,Laptop/Desktop,3.0,8.0,1.0,YES
22,3.0,Very poor,Laptop/Desktop,0.0,8.0,10.0,NO
34,1.5,Poor,Laptop/Desktop,1.0,6.0,1.0,NO
21,4.0,Good,Laptop/Desktop,4.0,7.0,2.0,YES
20,3.0,Average,Laptop/Desktop,3.0,7.0,1.0,YES
20,3.0,Very poor,Laptop/Desktop,5.0,7.5,2.0,YES
25,2.0,Very poor,Laptop/Desktop,3.0,8.0,4.0,NO
19,0.5,Very poor,Smartphone,3.0,8.0,1.0,YES
26,5.0,Average,Laptop/Desktop,10.0,8.0,1.0,YES
20,3.0,Good,Laptop/Desktop,4.0,8.0,2.0,YES
24,7.0,Very poor,Laptop/Desktop,7.0,7.0,2.0,YES
21,0.0,Very poor,Laptop/Desktop,0.0,12.0,6.0,NO
20,5.0,Good,Smartphone,2.5,9.0,3.0,YES
16,7.0,Average,Tablet,4.0,7.0,1.0,YES
17,6.0,Average,Laptop/Desktop,1.0,7.0,2.0,YES
59,3.0,Average,Smartphone,6.0,9.0,0.5,YES
17,7.0,Good,Smartphone,4.0,7.0,1.0,YES
16,6.0,Very poor,Smartphone,5.0,7.0,2.0,NO
20,3.0,Average,Laptop/Desktop,4.0,7.0,2.0,YES
17,6.0,Very poor,Smartphone,1.5,7.0,2.0,YES
17,6.0,Average,Laptop/Desktop,5.0,7.0,1.0,NO
20,3.0,Good,Laptop/Desktop,4.0,7.0,4.0,YES
17,6.0,Average,Tablet,2.0,7.0,1.0,NO
20,4.0,Very poor,Smartphone,2.0,7.0,0.5,NO
16,8.0,Good,Laptop/Desktop,7.0,6.0,1.0,NO
19,0.5,Very poor,Smartphone,5.0,10.0,1.0,YES
20,0.0,Very poor,Laptop/Desktop,2.0,10.0,3.0,NO
22,4.0,Average,Laptop/Desktop,3.0,8.0,3.0,YES
17,9.0,Poor,Laptop/Desktop,3.0,5.0,0.5,NO
23,1.0,Very poor,Smartphone,8.0,8.0,2.0,YES
22,0.0,Very poor,Laptop/Desktop,3.0,10.0,8.0,YES
22,1.5,Average,Laptop/Desktop,0.0,9.0,6.0,YES
19,2.0,Very poor,Smartphone,2.0,8.0,2.0,NO
19,2.0,Very poor,Smartphone,5.0,9.0,2.0,YES
23,1.0,Very poor,Laptop/Desktop,1.0,8.0,5.0,NO
32,4.0,Good,Laptop/Desktop,5.0,5.0,3.0,YES
17,6.0,Average,Smartphone,12.0,8.0,2.0,NO
22,4.0,Average,Laptop/Desktop,3.0,8.0,2.0,YES
17,6.0,Very poor,Any Gadget,4.0,8.0,0.5,YES
17,5.0,Average,Laptop/Desktop,1.5,8.0,1.0,YES
22,5.0,Good,Laptop/Desktop,10.0,6.0,1.0,YES
18,2.0,Very poor,Smartphone,2.0,9.0,4.0,NO
20,5.0,Very poor,Laptop/Desktop,12.0,7.0,1.0,NO
30,3.0,Average,Smartphone,1.0,4.0,1.0,YES
19,1.0,Average,Laptop/Desktop,1.0,8.0,1.0,NO
14,3.0,Good,Laptop/Desktop,2.0,8.0,1.0,YES
16,7.0,Average,Smartphone,3.0,11.0,1.5,NO
17,6.0,Average,Smartphone,2.0,9.0,3.0,NO
20,1.0,Very poor,Tablet,2.0,8.0,1.0,NO
17,4.0,Good,Smartphone,2.0,7.0,3.0,YES
20,6.0,Average,Any Gadget,2.0,6.0,4.0,NO
17,5.0,Average,Smartphone,4.0,7.0,2.0,NO
21,3.0,Very poor,Laptop/Desktop,2.0,7.0,2.0,YES
16,4.0,Poor,Laptop/Desktop,0.0,9.0,1.0,NO
21,5.0,Average,Smartphone,2.0,6.0,5.0,NO
20,4.0,Good,Laptop/Desktop,5.0,7.0,0.1,NO
14,4.0,Average,Smartphone,4.0,8.0,2.0,NO
19,3.0,Good,Laptop/Desktop,2.0,8.0,5.0,NO
18,0.0,Very poor,Laptop/Desktop,3.0,8.0,4.0,NO
13,5.0,Very poor,Laptop/Desktop,4.0,8.0,10.0,NO
20,4.0,Very poor,Laptop/Desktop,8.0,6.0,1.0,YES
19,0.0,Very poor,Laptop/Desktop,4.0,8.0,2.0,NO
15,5.0,Average,Smartphone,1.0,7.0,1.0,NO
20,1.0,Very poor,Smartphone,0.0,10.0,5.0,NO
19,0.0,Very poor,Laptop/Desktop,1.0,8.0,4.0,NO
21,3.0,Good,Laptop/Desktop,3.0,6.0,0.5,YES
20,4.0,Very poor,Laptop/Desktop,2.0,8.0,4.0,NO
20,4.0,Good,Laptop/Desktop,5.0,6.0,2.0,NO
16,6.0,Good,Laptop/Desktop,3.0,7.0,1.0,NO
21,2.0,Poor,Laptop/Desktop,2.0,5.0,3.0,YES
17,5.5,Good,Smartphone,5.0,9.0,1.0,NO
